company,abi,address_line_1,city,state,zipcode,latitude,longitude,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,year_established
bjs,176014587,1601 US HIGHWAY 22,WATCHUNG,NJ,07069,40.6437475,-74.414115,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,202749701,6030 E INDEPENDENCE BLVD,CHARLOTTE,NC,28212,35.17858,-80.75382,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,
bjs,202940797,298 PLAINFIELD RD,WEST LEBANON,NH,03784,43.62288,-72.32935,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002
bjs,204089924,6626 METROPOLITAN AVE,FLUSHING,NY,11379,40.7122,-73.89133,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002
bjs,204089924,6626 METROPOLITAN AVE # 23,MIDDLE VIL,NY,11379,40.71089,-73.89157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,204089924,6626 METROPOLITAN AVE # 23,MIDDLE VILLAGE,NY,11379,40.711545,-73.89144,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2002
bjs,204105753,7260 BELL CREEK RD,MECHANICSV,VA,23111,37.60254,-77.35081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,204105753,7260 BELL CREEK RD,MECHANICSVILLE,VA,23111,37.60213,-77.3502733333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2002
bjs,205177124,1800 DOGWOOD DR SE,CONYERS,GA,30013,33.64199,-83.98439,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002
bjs,206586083,339 GATEWAY DR,BROOKLYN,NY,11239,40.6505666666667,-73.8747366666667,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2002
bjs,206640724,100 RIVER RD # 20,MONROE,NY,10950,41.33278,-74.18737,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002
bjs,209221704,232 LARKIN DR,MONROE,NY,10950,41.31795,-74.14569,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
bjs,210275343,350 COMMERCE BLVD,FAIRLESS H,PA,19030,40.18882,-74.86295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,210275343,350 COMMERCE BLVD,FAIRLESS HILLS,PA,19030,40.18835,-74.8636233333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,210364527,7007 SW 117TH AVE,MIAMI,FL,33183,25.70107,-80.38174,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
bjs,210801411,12190 LAKE UNDERHILL RD,ORLANDO,FL,32825,28.545425,-81.207595,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,211080502,50 DANIEL ST,FARMINGDALE,NY,11735,40.74735,-73.42477,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
bjs,211310669,16520 BALLPARK RD,BOWIE,MD,20716,38.9449633333333,-76.7129466666667,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,211317904,900 MARKETPLACE BLVD,TRENTON,NJ,08691,40.1976,-74.6352625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,211805700,262 PLAINFIELD RD,WEST LEBAN,NH,03784,43.62646,-72.32582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,211805700,262 PLAINFIELD RD,WEST LEBANON,NH,03784,43.6267,-72.32461,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,
bjs,212500177,255 SHENSTONE LN,GARNER,NC,27529,35.69252,-78.5802,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
bjs,212799506,16520 BALLPARK RD,BOWIE,MD,20716,38.94497,-76.71268,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2002
